,Tweets,cluster
169,crimean weather unpredictable time year weather stations predicted black clouds sevastopol today,1
170,dark cloud settles crimea,1
171,argue ru ua army underequipped mobilized units,1
172,hold let help buddy,1
173,good ting blurred ocean,1
174,miss geroman things fun blocked making fun bad predictions day,1
175,actually geroman best analysts twitter reverse thing says,1
176,moths later time tell,1
177,don't believe rebrand exist shape form russia needs abroad,1
178,it's horrible sit translate message want sift hundreds thousands messages information relevant applies speaking russian ukrainian comes flowing conflict,1
179,different versions web app i've plugin translation work tested z success,1
180,i've k version know work z version,1
181,im pretty sure prefer kill artillery,1
182,it's called blocked twitter,1
183,need right click translate chats don't,1
184,require click twice post,1
185,think telegram horrible neat trick learned way late use chrome google translate plugin telegram web app auto translate,1
186,pretty funny read got pretty right,1
187,hav idea know strike force left bank,1
188,scribblemaps supporting encouraging map,1
189,days ago asked help training tqs contact looking soft stretchers emergency blankets send dm twitter help comes stretchers it's preferable found ukraine,1
190,russian diplomates expelled sweden,1
191,oh it's assassination information,1
192,th operational regiment th obron sko vng appears slimmed organization bit,1
193,k video repeated drone attacks skilled drone operators suppress enemy ua nd bn th brigade advance foot starts clearing trenches intense usual,1
194,don't care people think appreciate,1
195,compare cost m camo nets cheap,1
196,wonder wont new sturdier camo nets developed soon multi purpose nets able stop loitering serve coverhide ir signatures i'm probably way,1
197,it's it's going russians left right bank,1
198,understand old claim correctly,1
199,want rate outcome future offensive scale consider goal offensive thank,1
200,guy claimed oleshki liberated,1
201,like fair assessment situation dnipro delta,1
202,nearly imo smart guy,1
203,reminder important it's important inflate expectations,1
204,meant critique isw use map statements context,1
205,directed isw posted days ago isw map started circulating today wanted clarify it's important read text provide read methodology fully understand map,1
206,need stretchers bit harder ship,1
207,help items send dm twitter options contact,1
208,request updated need bandages,1
209,thank offer send pm provide details,1
210,read isw methods it's actually important understand map,1
211,it's recommended read write look map read methodology blue areas dashed edge marks claimed ua conuteroffensive thing coloring ua areas,1
212,isw updated showing blue areas delta wanted satellite layer drew areas colored swamp areas yellow seen evidence ukraine control highway it's isw methodology read,1
213,lol kidding i'm sorry,1
214,sounds great send dm dont lose twitter fog,1
215,asking discarded chinese ones need good train,1
216,looking tourniquets training purposes ukraine send dm anythign useful spare needed unknown moment waiting clarification,1
217,looking tourniquets training purposes ukraine send dm anythign useful spare,1
218,new high res video terra english subs,1
219,don't forget csgo overlay bakhmut evac video,1
220,interesting images o road bakhmut,1
221,don't problem maybe ugly moustache joseph albert herman acceptable,1
222,help friend alex finish o truck rd brigade,1
223,hunting season orcs open,1
224,k having negative impact russian tourists experience crossing donetsk oblast,1
225,people claimed ukraine bridgehead months ago complete garbage,1
226,way area boats possibly walk roads it's gonna look like roads check google animated enhance paths travel,1
227,people crazy crossdnipro offensive bridge head scattered reports ua forces having positions left bank dnipro happened liberated kherson it's roadless swamp,1
228,want look frontline google earth self text pastebin copy text file somethingkml,1
229,green road likely route bakhmut russians having free line sight gloc negative impact uas abilities transport supplies injured,1
230,comes city self rough estimate ruaf captured city month moment afu tying hold railway line east ruaf moment advancing north south half stable,1
231,applying enhanced d view google earth good understanding going assessment isn't optimal situation ukrainian forces,1
232,ruaf advances nw city o road subsequently getting line sight small arms fire control possible approaches bakhmut visual range point it's matter m,1
233,argue idiots internet stop feeding troll,1
234,argue ship armed people transponder far sams belt threatful banned passage belts sorry shitty translation,1
235,de kanske var dr och vade den hr gubben ser inte direkt ut att ha m sanden dr r ganska speciell jag har svrt att tro att man hittar den ukraina,1
236,bilden ser ut att vara frn kabusa eller falsterbo skjutflt,1
237,turn way expected instead continued focus try encircle bakhmut ruaf shifted urban assault tactic likely costly tactic comes lives probably spare equipment,1
238,insane guy filming got balls,1
239,it's slow bots started recycling lies year,1
240,favorite refuse believe sorcery,1
241,satellite images topic i'll repost luck harvest vatnik tears,1
242,yeah barely know toilets exist,1
243,vatniks found post fortified lines vatnik tears harvested moment salt storage filling,1
244,actually wrong underscore fake yankeein,1
245,don't better says war zone question fuck goes war orange rotating lights orange vests ofc geolocated germany,1
246,spring feelings year ago,1
247,reach higher find scale later,1
248,know failed life turn taliban's help losing argument vehicles painted,1
249,wanted aware telegram account nd video hours noticed,1
250,second bs video telegram account today,1
251,it's true it's year old video,1
252,rarely exited old videos,1
253,yeah caught eye time saw,1
254,cut slapped logo lied location,1
255,load crap germany video edited remove german car,1
256,russian forces manage capture bakhmut,1
257,area sand it's drained,1
258,close drone view tm kreminna area,1
259,hello wood tooth tupolev,1
260,pegov look like good night sleep vladlen tatarsky killed exploding dildo notice armed guard background maybe threat real maybe it's junkie paranoia,1
261,pegov look like good night sleep vladlen tatarsky killed exploding dildo notice armed guard background,1
262,new soviet state goal putin regimen it's followers,1
263,actually know original source doctored documents start appear hit telegram twitter week ago documents discord servers original,1
264,ones fbi arrested guy leaking,1
265,little bit difference usnato forces ukrainian like air supremacy,1
266,dare question credentials phd,1
267,soviet commander giving order kill retreats,1
268,going someones boyfriend prison sure,1
269,mean putins comfort zone,1
270,russian forces captured elevator building today bakhmut afu managed defend high value targets like railway station public bathroom containing toilets john deere repair shop extensive schematics tractors,1
271,i've given project time frontline standstill,1
272,happen ukraine achieve air supremacy frontline russia simply air defense,0
273,large water crossings effort straight donetsk city offensive russian lines surrounded sided hate charge logistics,1
274,war museum find kherson bunkers,1
275,mind think use himars,1
276,bakhmut late night geo,1
277,brady africk mapping ru entrenchments ukraine work showed yesterday,1
278,nice work worth follow,1
279,think monkey find handle,1
280,video importance ir drones daytime operations,1
281,mc donalds parking lot sold chicken mc nugget,1
282,it's like i'm sharing assassination coordinates,1
283,unit holding bakhmut defenses,1
284,don't think numbers accurate anymore think continued deploy mobiks,1
285,ben able use road bridge blown west ivanivske,1
286,ru claimed controlled like months ago,1
287,wise person told key remember zh rest easy true,1
288,good thing color coded map stupid ones,1
289,orange line weeks ago,1
290,russian force concentration based leaked dia documents,1
291,mind numbers weeks old accounts maneuvering battalions fact checked numbers visualization numbers documents,1
292,going kind pointless i'm busy stuff tabs stuff don't post update tomorrow stuff moving bakhmut,1
293,alex friend delivering aid ukraine trying raise funds ahead check story donorbox link,1
294,possible fake substack link,1
295,follower chucks best friend susbstack,1
296,proof google maps images,1
297,different gangs invader fight,1
298,chatgpt hller inte med,1
299,jag gillade framfrallt arvet efter arn,1
300,lokal frmga som sger t dem att komma tillbaks efter semestern,1
301,nr det blir krig kommer de skicka fram dialogpolisen fr att fienden hlla nere ovsendet,1
302,magyar ok despite vatnik rumors,1
303,think wrong seen moving trench tank starts ones fit dugouts sides close look,1
304,om du str fr det varfr raderade du tweeten,1
305,know russians probably alive tank burred think sending guys foot ended tank ammo think best situation,1
306,ammo pointing gun possibly mattered,1
307,tank probably pretty shitty condition usually chose sending tank away repaired keeping tank wont replacements sending away,1
308,i'm asking credentials buddy i'm speaking point view expressing view ask military experience having different point view,1
309,don't worry danish navy doesn't lot tanks,1
310,complain nearly getting stuck want twist tank digging argument sense ground soft,1
311,depends ask live perfect scenario world guys live world adapt reality ground limited ammo personnel,1
312,true built trenches fortified monthsyears trick,1
313,require tanks risk grasping straws it's textbook assault infantry suppressive fire ifv approaching,1
314,saw walk foot high quality drone asked ill ask infantry ground change equation,1
315,yell bad tactics want captured trench minimal risk ua lives,1
316,ho idea information suppressive fire moving plus drone coverage reached trench enemy suppressed hiding trench,1
317,enemy looks like having bad day lets ang privacy suggesting,1
318,risking units helped think it's easy look schoolbook criticize infantry support protected tank,1
319,video dropped kth follow tank trench combat near verkhn'okam'yans'ke close ua tank,1
320,time i've seen tanks use tactics crushing trenches it's weight,1
321,practicing magdump essential fine tune spray pray skills,1
322,kind local outbreak gonna work home,1
323,jus wanted help count money,1
324,vladlen tatarsky peace loving journalist died unfortunate explosive dildo accident yesterday objective journalism suffered huge loss,1
325,arrives form unblued statuette,1
326,great work brining attention,1
327,it's time right thing like encourage write timeline urge send donated money ukraine,1
328,like retweet attention promotion twitter algorithm lets money ukraine,1
329,it's time right thing,1
330,slowly surely things beginning crack,1
331,don't disagree i'm memes,1
332,beautiful it's gift russians,1
333,great work providing aid ukraine structured transparent like support work,1
334,imagine ruaf trying maintain logistics island baltic sea cant maintain logistics dnipro river,1
335,new highres video terra,1
336,seen intro includes russian airborne units guess height,1
337,numbers hear people trust,1
338,stockpile tosa ammo extremely limited words nonexistent,1
339,hear actually happened i'm saying wrong i've seen translation know talk tochka war people bend truth propaganda reasons,1
340,offended shows supporter rapists murderers,1
341,i'm sorry wanted enjoy opioid stare time,1
342,great respect people treat day april fools,1
343,guess ukrainians don't tosas,1
344,oh thinking visible pressure waves,1
345,saw tos hits like time lyman iirc,1
346,i'd money rigged building saw rd daysago km weapon bakhmut waste,1
347,change needed war monitors,1
348,probably university st andrews,1
349,that's true it's morning white population big difference,1
350,i'm going send self defend moon it's threatened empire,1
351,people killed gun violence white reflects entire populations i'd lot white gangs ripping apart urban communities,1
352,i'd worried straight white people stand mass shootings,1
353,topic mass shootings offenders white means argument invalid live,1
354,ok kind expected imagine,1
355,tanks like qrf responding ru taking trench ua trying aid potential ua soldiers area trying responding ru moving trench,1
356,lot people commenting ua infantry perfect caa operation,1
357,it's clear russians took position ua manned trench,1
358,russians captured later night video follow,1
359,it's white flag it's junk stuck tree seen ish,1
360,it's visible shot sec,1
361,sweden country turkey label pkk terrorist organization gently self,1
362,armored ua assault ru positions verkhn'okam'yans'ke area close ua tank point blank tank gt trench combat,1
363,loyalty rewarded incompetence forgotten,1
364,started vs it's going,1
365,finland nato greatly improves security nato sea sorry baltic sea,1
366,looking found instead i'm pretty happy placement arrows it's jaw dropping little ruaf advanced months,1
367,gonna blend orange jumpsuits,1
368,gonna blend right orange jumpsuits,1
369,i'm offended need cry,1
370,opinion matter credentials expert public perception,1
371,iirc reports beavers helping ukraine making border belarus swamp,1
372,iraq figured ts seehit range fired money abrams,1
373,worth time print wipe ass,1
374,guys hear spread ukraine,1
375,samtidigt s r det inte ett bidrag du fr bara tillbaks en del av skatten du betalat,1
376,moment follow like people susbstack btw,1
377,ukraine needs continued support able kick russians like support drone fundraisers constantine know difference want difference help donating orand retweeting fundraisers,1
378,interactive map use suck phone don't know tried,1
379,oh it's accidentally press tumb buttons mouse,1
380,varying results embedding let know works,1
381,i'm time stand mirror homo,1
382,based tiktok videos coming i'd,1
383,cant fit screen anymore,1
384,usually equipment vehicles motorized d,1
385,volunteer battalion algas commander talk traitors refused fight heard rumors weeks ago confirm,1
386,th operational regiment th separate operational brigade,1
387,st special motorized regiment north,1
388,absolutely insane haul akhmat found pants diplomas boots,1
389,damn muhammad sims need plant,1
390,got fam image pope,1
391,roros train bridge damaged crimea mariupol,1
392,expect write twitter post i'm posting,1
393,it's militarized fortified island surrounded russian navy need going,1
394,things like don't post day room room maps,1
395,find military liberation crimea highly unlikely let's hope i'm wrong,1
396,kurwa gruby like polish words know look beaver,1
397,tbh depends going use,1
398,emblem german bundeswehr nazi symbols outlawed germany clearly cant nazi symbol,1
399,cant telling people i'm chemical warfare thing i'm going pretend dan,1
400,dashcam recent date yellow arm bands pointed cant claim it's months ago,1
401,probably better job explaining,1
402,im discussing welcome discussion ukraine longer respond,1
403,yeah cant rude pass bottle wake day expect nice,1
404,haven't actually started rude,1
405,actually haven't it's way street like ok use anonymous account months ago i'm going ask kofman got live head rent free year suggest bottle,1
406,you've material question following war closely rely verified anonymous sources way kind idea actually going yes proven reliable past,1
407,know people throwing credentials peoples faces it's chuck pfarrer credentials credibility asked held opinion wanted point view,1
408,break hunting russians enjoyable,1
409,it's acted like dick engage conversation people disagree stop subtweeting engage conversation advice sure opinion matters better check credentials,1
410,i'm twitter relationship advice,1
411,february battalion completed combined arms training,1
412,april year canadian soldiers worked ukrainian counterparts alive constitute ua army today,1
413,said mil months ago included rounds ts etc think remaining mil rounds relevant systems,1
414,i'm gonna frame hang wall bffs forever,1
415,war games want it's politicians making calls,1
416,ukraine trained nato doctrine sure majority poorly trained mobilized personnel,1
417,recall time committed battalion svitlodars'k summer grown regiment later brigade,1
418,takes time instinctive saw train months polish tanks started showing battle field gonna lot new battalions takes time functional,1
419,offensive units training expanding late summer don't think brigaded seen combat plenty examples,1
420,know operate need integrate units months ready,1
421,leaders bad calls time it's right think don't know right thing know years possibly opinions differed,1
422,i'm asking analysis situation i'm don't understand,1
423,tell think strategy bakhmut success i'm saying isn't i'm interested analysis attrition ratios munition expenditure use offensive units defend etc,1
424,ok problem don't understand,1
425,claim bakhmut feint suggested russians fail it's soon determine defense bakhmut success probably years,1
426,previous statement true don't know decision hold bakhmut afu it's likely political decisions,1
427,think saw laying trenches december hit think trained play dead,1
428,it's frontlines dig partially capturing ru positions windbreak ru taken positions away windbreak dont know exact timeline it's impossible tell,1
429,true lost ground kupyansk kreminna avdiivka,1
430,think point wagner wasted thousands prisoners,1
431,afu repulsed attacks area maryinka novomykhailivka according crybar afu reinforced pobjeda,1
432,weekly progress avdiivka area kamyanka likely lost visual evidence heavy fighting stepove sjeverne direction,1
433,it's likely ruaf continue reinforce success avdiivka good excuse taking bakhmut remember words,1
434,according rumint ua lost sam capabilities avdiivka area allowed russians use attack aircraft medium high altitude area range manpads explain ruaf success,1
435,afu repulsed attacks area novokalynove keramik avdiivka tonenke severne vodyane pervomaiske continued heavy fighting avdiivka,1
436,geolocated points bakhmut assess situation available map links original post,1
437,weekly progress bakhmut area,1
438,hopefully ua long term plan bakhmut math subject it's possible kursk scenario plan upcoming offensive math tell it's worth,1
439,it's pretty simple shot directions enemy shooting gloc good position true ru advance stopped i've saying time leave bakhmut,1
440,believe ua position bakhmut favorable attrition ratio nearly favorable december i'm hearing numbers lower circulate western media believe ratio turned slightly ua favor weeks,1
441,likely scenarios bakhmut point,1
442,ru offensive comes halt attrition bakhmut new marinka,1
443,ruaf rotate forces manage push forcing afu withdraw,1
444,afu repulsed attacks area bakhmut bohdanivka ivanivske predtechyne slight ru gains noted n s bakhmut city,1
445,afu repulsed attacks area sinkivka kreminnaya bilogorivka vyimka vesele,1
446,visit interactive map details explanations legend available,1
447,ukraine update march th,1
448,week little progress areas,1
449,helpful like retweet tweet,1
450,heart failure actual combat,1
451,ukrainian armor arrives hunt russians,1
452,don't think russian control bad geolocation mistake,1
453,translated soldiers post analysis,1
454,oh it's cold thought pregnant second,1
455,came conclusion highly scientific method russians claiming divide closer truth,1
456,examples bad analysis explain bad,1
457,it's time people exposed lot grifters war tourists,1
458,source pro russian it's interesting heavy lifting ruaf wagner,1
459,extent ukrainian troops lot experience it's easy think especially coordinating fires,1
460,extremt blir nog ingen efterfest,1
461,det blev ett litet oj jvlar dr vid,1
462,mandatory marinka attacks reported pobjeda novomykhailivka success tag team donkey,1
463,update ru mod claims,1
464,ruish alexander khodakovsky talk increasing ua artillery drone attacks,1
465,describes interpreted robot wars ua attacking swarms drones distract antidrone drones,1
466,ru forces attacks increased lately hours attacked area keramik novokalynove novobakhmutivka stepove avdiivka severna pervomaiske marinka novomykhailivk pobieda,1
467,ukrainian soldiers telegram talk russians advancing khromove area night supposedly got asses handed ru forces pull day,1
468,afu repulsed attacks bakhmut north south orihovovasylivka bohdanivka ivanivske predtechine stupochky,1
469,tweet click link link don't know help,1
470,ruaf attacked area hryanikyvka serebryansk forestry bilohorivka,1
471,click link scroll details incoming rain,1
472,map brought popov brothers,1
473,brutal video k verkhn'okam'yans'ke area shows danger close artillery point blank impacts intense fighting,1
474,public debate way change things know lot analysts refrain brining issues ukraine tone know slammed publicly called russian trolls attacked mass reports etc dont want,1
475,fired iirc general fired recently job commander jfo days later syrsky shows bakhmut saying related,1
476,it's political decision non military personnel commanders agreeing decision line support publicly i'm saying case i'm saying case read years,1
477,wont know ukrainian commanders write memoirs,1
478,important reason use words like think believe clear,1
479,it's opsec it's likely result attrition question ruaf resources personnel pick pace seen peak winter offensive answerer guess se,1
480,want time don't like muteblock dick ill help way,1
481,delivered th vehicle ukraine,1
482,vehicles lot trucks vital logistics coming standstill lack funds consider supporting,1
483,f'insertstatement' cold 'valueerror' 'loggingerrorexpected argument got ',1
484,good advice fact don't trust gather facts opinion,1
485,know sarcasm translate hope tying funny,1
486,petris blog amazing guide recognize russian tanks things,1
487,asking payed attention think change view thing based peoples opinion misunderstood worth,1
488,territorial gainslosses what's gonna winlose war,1
489,fair things wrong interested talking credentials discussing issue hand,1
490,beauty twitter making good point retweeted heard matter credentials don't think matters i'll listen making good argument,1
491,reason retweeted times feel need question,1
492,it's seriously care don't seriously,1
493,opinion matter asking opinion tell,1
494,yes it's bakhmut thing syrsky it's way micro managing,1
495,send dm time miss lot comments want question public send link reply sure don't miss,1
496,sure analysis it's based previous geolocation ua forces firering ru positions close bila hora general staff mentioning oleksandroshul'tyne predtechyne,1
497,amazing keeps date weather,1
498,don't know moving forces try direction multiple things going,1
499,ofc fault report ua general staff quickly escalated ua liberation left bank dinpro twittiots sounds like dumbest thing heard year probably true,1
500,afu repulsed attacks marinka pobieda,1
501,avdiivka captured russians ua prepared lines west avdiivka wont cause kind large breakthrough provide lot security donetsk logistical hub,1
502,attacks avdiivka attempt pull ua forces away sections disagree think ruaf adapting trying new locations don't work,1
503,afu repulsed attacks novokalynov stepove berdychi avdiivka lastochkine severna vodyane pervomaiske confusion stepove lately it's possible ruaf entered village got kicked,1
504,bakhmut bohdanivka predtechyny oleksandroshultine vasyukivka like bakhmut stabilized bit heavy fighting north south parts town possibly advance ruaf bila hora direction,1
505,afu repulsed attacks area bilogorivka verkhnyokamianske i've adjusted line like m ru favor close bilohorivka think change i've months,1
506,afu repulsed attacks area sinkivka makiivka,1
507,according little rain week means ground slowly drying,1
508,lack reports days lack interest it's simply report reports short repetitive,1
509,lot change days i've actually spent lot time looking info days i'm finding interesting,1
510,it's actually pretty good corrected drones,1
511,delivered th vehicle ukraine mind lot trucks able transport large amounts supplies truly amazing,1
512,ts effectively i'm sure different,1
513,original statement ua general staff,1
514,calm liberation nova kakhovka,1
515,spy huge pile bullshit,1
516,dont point vehicles consume fuel obvious point,1
517,vehicles consumes type fuel,1
518,like mobile grenade launchers,1
519,question reasonable statement isn't i'm sending older tanks short range artillery want going battle chrysler voyager probably think tx upgrade,1
520,i'm sure i'm respectfully going ask fk self i'm going respond question,1
521,cant point twitter randomly breaks threads check post sure broken mistake today twitter broke later,1
522,afu repulsed attacks area marinka pobieda,1
523,i've corrections frontline donetsk area eastern correction gives control ua stronghold afu bad geolocation ru control ht,1
524,western correction based new geolocation,1
525,based ru ua reports believe ruaf managed advance railway west krashnohorivka,1
526,afu repulsed attacks area berdychi novobakhmutivka krasnohorivka avdiivka severne pervomaiske,1
527,week comparison ruaf line bakhmut orange line,1
528,ruafs main focus sill north bakhmut looks like ruafs attempts advance northern direction decreased lot fighting going north south city daily advance measured meters singledouble digits,1
529,afu repulsed attacks area orikhovovasylivka hryhorivka bohdanivka ivanivske predtechyne severnye,1
530,afu repulsed attacks area bilohorivka verkhn'okam'yans'ke,1
531,afu repulsed attacks area masyutivka novoselivs'ke thigs fairly calm direction,1
532,guys photo involved making map,1
533,looks like rough night,1
534,drones essential defense ukraine,1
535,got words geolocation original tweet removed wrong thanks brining attention adjusted map,1
536,sarcasm available info points drones,1
537,atacams myth confirmed chuck,1
538,reason tweet removed i'm looking,1
539,wonder ua armed forces budget toilet paper know,1
540,that's prediction it's opinion,1
541,start pointing zenith bunker area able help,1
542,think saved offensive like units dedicated spring offensive,1
543,time summer experts believe ruaf start running real issues ammunition,1
544,think month ruaf having upper hand possibly bit slower time june think afu starting operate offensively,1
545,expressed disagreement defense bakhmut think ua wrong thing think need sacrifice land time ru bodies sacrificing ua soldiers,1
546,believe seeing right kind saw summer ua trying reconstitute offensive potential defending minimal resources said minimal resources greater summer,1
547,ruaf gradually stepped efforts attack bakhmut fall yakovlivka fall soledar stepped late january,1
548,yakovlivka captured ruaf upper hand afu exhausted lot combat potential fall offensive,1
549,ruaf managed capture yakovlivka early december committing resources area vdv point ruaf gradually started introducing personnel mobilized october,1
550,ruaf withdrawal kherson successfully trained mobiks months integrated regular units created new ones moved lot assault units kherson bakhmut kreminna,1
